연도,초중고,일반교과 사교육,일반교과 사교육,일반교과 사교육,일반교과 사교육,일반교과 사교육,"예체능, 취미·교양 사교육","예체능, 취미·교양 사교육","예체능, 취미·교양 사교육","예체능, 취미·교양 사교육"
,,개인과외,그룹과외,학원수강,방문학습지,유료인터넷 및 통신강좌,개인과외,그룹과외,학원수강,"방문수업,유료인터넷 및 통신강좌"
2007,전체,24744,17502,98202,18003,2007,5874,2795,29456,1025
2007,초등학교,4788,7403,43780,15315,510,4096,2264,23119,825
2007,중학교,8029,5005,36377,2402,601,902,352,2316,137
2007,고등학교,11927,5094,18046,287,896,876,179,4021,63
2007,일반고,11219,4726,17099,234,845,807,129,3286,43
2008,전체,25787,16514,108642,16130,2202,5862,2356,30051,903
2008,초등학교,5063,6798,48663,13863,509,3754,1828,23098,732
2008,중학교,8076,4412,39448,1994,695,965,289,2137,120
2008,고등학교,12648,5305,20531,274,998,1143,239,4816,51
2008,일반고,11919,4989,19464,216,917,1033,191,3921,38
2009,전체,29649,18640,109203,15393,2740,8185,3076,27909,875
2009,초등학교,5624,7470,46561,13216,693,4548,2401,21087,708
2009,중학교,9692,5869,40209,1925,762,1213,437,2434,115
2009,고등학교,14333,5301,22433,253,1286,2424,238,4388,52
2009,일반고,13653,5101,21596,204,1259,2135,191,3435,41
2010,전체,27939,19127,106036,13529,2586,8290,3105,26642,888
2010,초등학교,4886,7539,44773,11559,557,4634,2374,20058,701
2010,중학교,9052,5946,38889,1736,890,1092,434,2246,112
2010,고등학교,14000,5642,22374,234,1140,2564,297,4337,75
2010,일반고,13142,5444,21355,181,1077,2260,197,3527,59
2011,전체,28010,18126,102509,11107,2184,7634,3049,27068,924
2011,초등학교,5221,6830,41030,9406,543,4413,2331,20008,678
2011,중학교,9180,5940,38410,1511,725,1189,462,2426,162
2011,고등학교,13609,5355,23069,189,915,2031,255,4634,84
2011,일반고,13044,5158,22251,153,884,1950,187,3623,71
2012,전체,26924,18204,99837,8833,1975,5037,2287,25694,950
2012,초등학교,4227,6068,36331,7432,584,2478,1595,18140,697
2012,중학교,9413,6547,38644,1248,719,1278,522,2609,182
2012,고등학교,13284,5589,24862,153,672,1280,169,4946,72
2012,일반고,12765,5474,24238,119,658,1173,136,4159,55
2013,전체,25574,16755,96842,8008,1623,6422,2551,27316,451
2013,초등학교,4833,6134,34393,6837,615,3562,1799,18826,375
2013,중학교,8169,5555,37695,1059,539,1121,535,3107,52
2013,고등학교,12571,5066,24755,112,469,1739,217,5384,24
2013,일반고,12303,4940,24181,83,461,1665,200,4986,20
2014,전체,24503,16330,93520,7974,1503,6981,2783,27912,274
2014,초등학교,4365,5952,32101,6923,579,3820,2204,19793,212
2014,중학교,8155,5605,35897,959,506,1254,419,2844,39
2014,고등학교,11984,4773,25522,93,418,1906,159,5276,23
2014,일반고,11642,4726,24811,70,408,1816,133,4855,16
2015,전체,24825,15997,89106,7485,1534,7206,3159,27734,631
2015,초등학교,5511,6109,29048,6628,653,4042,2435,20361,499
2015,중학교,7693,5276,33554,759,396,1396,527,2696,87
2015,고등학교,11621,4611,26504,98,485,1768,197,4677,45
2015,일반고,11256,4525,25932,81,472,1578,177,4312,38
2016,전체,21923,13536,89075,7480,3042,7282,2951,32264,2236
2016,초등학교,4131,5042,27896,6645,1770,3929,2142,24159,1725
2016,중학교,6732,3831,31139,744,607,1293,486,2977,293
2016,고등학교,11059,4663,30040,91,666,2060,324,5127,218
2016,일반고,10651,4565,29290,79,644,1995,266,4487,185